"person_id","role_id","worship_id","assigned_at"
1,1,1,"2025-06-21 16:14:57"
1,1,5,"2025-06-27 18:39:22"
2,1,1,"2025-06-21 16:14:57"
2,1,4,"2025-06-27 18:39:22"
3,1,1,"2025-06-21 16:14:57"
3,1,3,"2025-06-27 18:39:22"
3,1,5,"2025-06-27 18:39:22"
3,1,6,"2025-06-21 16:14:57"
5,2,1,"2025-06-21 16:14:57"
5,3,4,"2025-06-27 18:39:22"
5,12,4,"2025-06-27 18:39:22"
5,13,1,"2025-06-21 16:14:57"
6,2,1,"2025-06-21 16:14:57"
6,13,1,"2025-06-21 16:14:57"
7,1,3,"2025-06-27 18:39:22"
7,1,4,"2025-06-27 18:39:22"
7,1,6,"2025-06-21 16:14:57"
7,2,1,"2025-06-21 16:14:57"
7,13,1,"2025-06-21 16:14:57"
8,3,1,"2025-06-21 16:14:57"
8,4,1,"2025-06-21 16:14:57"
9,1,6,"2025-06-21 16:14:57"
9,3,1,"2025-06-21 16:14:57"
9,3,2,"2025-06-22 17:04:34"
9,4,1,"2025-06-21 16:14:57"
10,1,6,"2025-06-21 16:14:57"
10,3,1,"2025-06-21 16:14:57"
10,4,1,"2025-06-21 16:14:57"
10,13,1,"2025-06-21 16:14:57"
11,3,1,"2025-06-21 16:14:57"
11,3,2,"2025-06-22 17:04:34"
11,4,1,"2025-06-21 16:14:57"
11,13,1,"2025-06-21 16:14:57"
12,3,2,"2025-06-22 17:04:34"
12,4,1,"2025-06-21 16:14:57"
12,7,2,"2025-06-22 17:04:34"
12,7,3,"2025-06-27 18:39:22"
13,4,1,"2025-06-21 16:14:57"
14,1,6,"2025-06-21 16:14:57"
14,3,1,"2025-06-21 16:14:57"
14,3,2,"2025-06-22 17:04:34"
14,4,1,"2025-06-21 16:14:57"
14,7,2,"2025-06-22 17:04:34"
14,7,3,"2025-06-27 18:39:22"
14,13,1,"2025-06-21 16:14:57"
14,15,2,"2025-06-22 17:04:34"
15,4,1,"2025-06-21 16:14:57"
15,7,3,"2025-06-27 18:39:22"
15,9,1,"2025-06-21 16:14:57"
16,3,2,"2025-06-22 17:04:34"
16,3,3,"2025-06-27 18:39:22"
16,4,1,"2025-06-21 16:14:57"
16,13,1,"2025-06-21 16:14:57"
17,3,2,"2025-06-22 17:04:34"
17,3,3,"2025-06-27 18:39:22"
17,4,1,"2025-06-21 16:14:57"
20,4,1,"2025-06-21 16:14:57"
20,11,1,"2025-06-21 16:14:57"
20,12,3,"2025-06-27 18:39:22"
21,3,2,"2025-06-22 17:04:34"
21,4,1,"2025-06-21 16:14:57"
21,11,1,"2025-06-21 16:14:57"
23,5,1,"2025-06-21 16:14:57"
23,6,1,"2025-06-21 16:14:57"
24,3,2,"2025-06-22 17:04:34"
24,5,1,"2025-06-21 16:14:57"
24,5,2,"2025-06-22 17:04:34"
24,5,3,"2025-06-27 18:39:22"
24,6,1,"2025-06-21 16:14:57"
24,7,2,"2025-06-22 17:04:34"
25,5,2,"2025-06-22 17:04:34"
25,5,3,"2025-06-27 18:39:22"
25,9,1,"2025-06-21 16:14:57"
25,13,1,"2025-06-21 16:14:57"
26,7,1,"2025-06-21 16:14:57"
26,13,1,"2025-06-21 16:14:57"
27,8,1,"2025-06-21 16:14:57"
28,7,2,"2025-06-22 17:04:34"
28,8,1,"2025-06-21 16:14:57"
30,10,1,"2025-06-21 16:14:57"
30,12,6,"2025-06-21 16:14:57"
31,3,6,"2025-06-21 16:14:57"
31,10,1,"2025-06-21 16:14:57"
31,11,1,"2025-06-21 16:14:57"
31,12,6,"2025-06-21 16:14:57"
32,3,6,"2025-06-21 16:14:57"
32,10,1,"2025-06-21 16:14:57"
32,11,1,"2025-06-21 16:14:57"
32,12,6,"2025-06-21 16:14:57"
33,10,1,"2025-06-21 16:14:57"
33,11,1,"2025-06-21 16:14:57"
34,10,1,"2025-06-21 16:14:57"
34,11,1,"2025-06-21 16:14:57"
35,3,6,"2025-06-21 16:14:57"
35,10,1,"2025-06-21 16:14:57"
35,11,1,"2025-06-21 16:14:57"
35,12,3,"2025-06-27 18:39:22"
35,12,6,"2025-06-21 16:14:57"
36,10,1,"2025-06-21 16:14:57"
36,11,1,"2025-06-21 16:14:57"
40,3,4,"2025-06-27 18:39:22"
40,12,1,"2025-06-21 16:14:57"
40,12,4,"2025-06-27 18:39:22"
41,3,4,"2025-06-27 18:39:22"
41,12,1,"2025-06-21 16:14:57"
41,12,4,"2025-06-27 18:39:22"
42,12,1,"2025-06-21 16:14:57"
43,3,4,"2025-06-27 18:39:22"
43,12,1,"2025-06-21 16:14:57"
43,12,4,"2025-06-27 18:39:22"
44,12,1,"2025-06-21 16:14:57"
45,12,1,"2025-06-21 16:14:57"
46,12,1,"2025-06-21 16:14:57"
47,3,4,"2025-06-27 18:39:22"
47,12,1,"2025-06-21 16:14:57"
47,12,4,"2025-06-27 18:39:22"
48,1,3,"2025-06-27 18:39:22"
48,1,4,"2025-06-27 18:39:22"
48,3,2,"2025-06-22 17:04:34"
48,3,4,"2025-06-27 18:39:22"
48,12,1,"2025-06-21 16:14:57"
48,12,4,"2025-06-27 18:39:22"
50,3,4,"2025-06-27 18:39:22"
50,12,1,"2025-06-21 16:14:57"
50,12,4,"2025-06-27 18:39:22"
52,2,1,"2025-06-21 16:14:57"
52,3,4,"2025-06-27 18:39:22"
52,12,1,"2025-06-21 16:14:57"
52,12,4,"2025-06-27 18:39:22"
54,3,1,"2025-06-21 16:14:57"
54,3,2,"2025-06-22 17:04:34"
54,4,1,"2025-06-21 16:14:57"
55,3,6,"2025-06-21 16:14:57"
55,12,6,"2025-06-21 16:14:57"
56,3,6,"2025-06-21 16:14:57"
56,12,6,"2025-06-21 16:14:57"
57,12,6,"2025-06-21 16:14:57"
58,3,6,"2025-06-21 16:14:57"
58,12,6,"2025-06-21 16:14:57"
59,12,6,"2025-06-21 16:14:57"
60,3,2,"2025-06-22 17:04:34"
61,3,2,"2025-06-22 17:04:34"
62,3,2,"2025-06-22 17:04:34"
63,3,2,"2025-06-22 17:04:34"
64,3,2,"2025-06-22 17:04:34"
65,3,2,"2025-06-22 17:04:34"
66,3,2,"2025-06-22 17:04:34"
67,3,2,"2025-06-22 17:04:34"
68,3,2,"2025-06-22 17:04:34"
69,3,2,"2025-06-22 17:04:34"
70,3,2,"2025-06-22 17:04:34"
71,3,2,"2025-06-22 17:04:34"
72,3,2,"2025-06-22 17:04:34"
73,3,2,"2025-06-22 17:04:34"
74,7,2,"2025-06-22 17:04:34"
74,15,2,"2025-06-22 17:04:34"
75,12,2,"2025-06-22 17:04:34"
76,12,2,"2025-06-22 17:04:34"
77,12,2,"2025-06-22 17:04:34"
78,12,2,"2025-06-22 17:04:34"
79,12,2,"2025-06-22 17:04:34"
80,12,2,"2025-06-22 17:04:34"
81,12,2,"2025-06-22 17:04:34"
82,12,2,"2025-06-22 17:04:34"
83,12,2,"2025-06-22 17:04:34"
84,12,2,"2025-06-22 17:04:34"
85,12,2,"2025-06-22 17:04:34"
86,12,2,"2025-06-22 17:04:34"
88,1,4,"2025-06-27 18:39:22"
89,3,4,"2025-06-27 18:39:22"
89,12,4,"2025-06-27 18:39:22"
90,3,4,"2025-06-27 18:39:22"
90,12,4,"2025-06-27 18:39:22"
91,3,4,"2025-06-27 18:39:22"
91,12,4,"2025-06-27 18:39:22"
92,3,4,"2025-06-27 18:39:22"
92,12,4,"2025-06-27 18:39:22"
93,3,3,"2025-06-27 18:39:22"
94,12,3,"2025-06-27 18:39:22"
95,7,3,"2025-06-27 18:39:22"
96,9,3,"2025-06-27 18:39:22"
97,10,3,"2025-06-27 18:39:22"
98,10,3,"2025-06-27 18:39:22"
99,3,5,"2025-06-27 18:39:22"
100,3,5,"2025-06-27 18:39:22"
101,3,5,"2025-06-27 18:39:22"
102,3,5,"2025-06-27 18:39:22"
103,3,5,"2025-06-27 18:39:22"
