"id","person_id","role_id","worship_id","date","category","created_at","updated_at"
36,9,3,6,"2025-06-27","","2025-06-27 20:00:06","2025-06-27 20:00:06"
37,12,7,6,"2025-06-27","","2025-06-27 20:00:06","2025-06-27 20:00:06"
38,75,12,6,"2025-06-27","","2025-06-27 20:00:06","2025-06-27 20:00:06"
39,1,1,6,"2025-06-26","","2025-06-27 20:00:37","2025-06-27 20:00:37"
40,100,3,6,"2025-06-26","","2025-06-27 20:00:37","2025-06-27 20:00:37"
43,3,1,6,"2025-06-27","","2025-06-28 12:00:56","2025-06-28 12:00:56"
44,17,3,6,"2025-06-27","","2025-06-28 12:00:56","2025-06-28 12:00:56"
45,14,7,6,"2025-06-27","","2025-06-28 12:00:56","2025-06-28 12:00:56"
46,97,10,6,"2025-06-27","","2025-06-28 12:00:56","2025-06-28 12:00:56"
47,35,12,6,"2025-06-27","","2025-06-28 12:00:56","2025-06-28 12:00:56"
65,3,1,5,"2025-07-12","","2025-06-28 12:52:49","2025-06-28 12:52:49"
66,99,3,5,"2025-07-12","","2025-06-28 12:52:49","2025-06-28 12:52:49"
67,100,3,5,"2025-07-12","","2025-06-28 12:52:49","2025-06-28 12:52:49"
68,102,3,5,"2025-07-12","","2025-06-28 12:52:49","2025-06-28 12:52:49"
73,2,1,4,"2025-06-04","","2025-06-28 13:03:11","2025-06-28 13:03:11"
74,50,3,4,"2025-06-04","","2025-06-28 13:03:11","2025-06-28 13:03:11"
75,50,12,4,"2025-06-04","","2025-06-28 13:03:11","2025-06-28 13:03:11"
76,3,1,3,"2025-07-04","","2025-06-28 13:04:00","2025-06-28 13:04:00"
77,17,3,3,"2025-07-04","","2025-06-28 13:04:00","2025-06-28 13:04:00"
78,12,7,3,"2025-07-04","","2025-06-28 13:04:00","2025-06-28 13:04:00"
79,35,12,3,"2025-07-04","","2025-06-28 13:04:00","2025-06-28 13:04:00"
344,2,1,1,"2025-06-12",,"2025-07-19 16:08:08","2025-07-19 16:08:08"
345,5,2,1,"2025-06-12",,"2025-07-19 16:08:08","2025-07-19 16:08:08"
346,6,13,1,"2025-06-12",,"2025-07-19 16:08:08","2025-07-19 16:08:08"
347,11,3,1,"2025-06-12",,"2025-07-19 16:08:08","2025-07-19 16:08:08"
348,8,4,1,"2025-06-12",,"2025-07-19 16:08:08","2025-07-19 16:08:08"
349,15,9,1,"2025-06-12",,"2025-07-19 16:08:08","2025-07-19 16:08:08"
350,21,11,1,"2025-06-12",,"2025-07-19 16:08:08","2025-07-19 16:08:08"
351,23,5,1,"2025-06-12",,"2025-07-19 16:08:08","2025-07-19 16:08:08"
352,24,6,1,"2025-06-12",,"2025-07-19 16:08:08","2025-07-19 16:08:08"
353,26,7,1,"2025-06-12",,"2025-07-19 16:08:08","2025-07-19 16:08:08"
354,27,8,1,"2025-06-12",,"2025-07-19 16:08:08","2025-07-19 16:08:08"
355,31,10,1,"2025-06-12",,"2025-07-19 16:08:08","2025-07-19 16:08:08"
356,34,10,1,"2025-06-12",,"2025-07-19 16:08:08","2025-07-19 16:08:08"
357,44,12,1,"2025-06-12",,"2025-07-19 16:08:08","2025-07-19 16:08:08"
358,47,12,1,"2025-06-12",,"2025-07-19 16:08:08","2025-07-19 16:08:08"
359,12,3,2,"2025-06-18",,"2025-07-19 16:25:56","2025-07-19 16:25:56"
360,12,7,2,"2025-06-18",,"2025-07-19 16:25:56","2025-07-19 16:25:56"
361,14,15,2,"2025-06-18",,"2025-07-19 16:25:56","2025-07-19 16:25:56"
362,24,5,2,"2025-06-18",,"2025-07-19 16:25:56","2025-07-19 16:25:56"
363,75,12,2,"2025-06-18",,"2025-07-19 16:25:56","2025-07-19 16:25:56"
364,1,1,1,"2025-07-20",,"2025-07-19 18:06:51","2025-07-19 18:06:51"
373,1,1,1,"2025-07-26",,"2025-07-19 18:19:10","2025-07-19 18:19:10"
374,5,2,1,"2025-07-26",,"2025-07-19 18:19:10","2025-07-19 18:19:10"
375,6,13,1,"2025-07-26",,"2025-07-19 18:19:10","2025-07-19 18:19:10"
376,9,3,1,"2025-07-26",,"2025-07-19 18:19:10","2025-07-19 18:19:10"
377,10,4,1,"2025-07-26",,"2025-07-19 18:19:10","2025-07-19 18:19:10"
378,12,4,1,"2025-07-26",,"2025-07-19 18:19:10","2025-07-19 18:19:10"
379,13,4,1,"2025-07-26",,"2025-07-19 18:19:10","2025-07-19 18:19:10"
380,25,9,1,"2025-07-26",,"2025-07-19 18:19:10","2025-07-19 18:19:10"
381,20,11,1,"2025-07-26",,"2025-07-19 18:19:10","2025-07-19 18:19:10"
382,23,5,1,"2025-07-26",,"2025-07-19 18:19:10","2025-07-19 18:19:10"
383,24,6,1,"2025-07-26",,"2025-07-19 18:19:10","2025-07-19 18:19:10"
384,26,7,1,"2025-07-26",,"2025-07-19 18:19:10","2025-07-19 18:19:10"
385,27,8,1,"2025-07-26",,"2025-07-19 18:19:10","2025-07-19 18:19:10"
386,30,10,1,"2025-07-26",,"2025-07-19 18:19:10","2025-07-19 18:19:10"
387,46,12,1,"2025-07-26",,"2025-07-19 18:19:10","2025-07-19 18:19:10"
388,50,12,1,"2025-07-26",,"2025-07-19 18:19:10","2025-07-19 18:19:10"
399,11,3,2,"2025-07-26",,"2025-07-19 18:36:47","2025-07-19 18:36:47"
400,12,7,2,"2025-07-26",,"2025-07-19 18:36:47","2025-07-19 18:36:47"
401,14,15,2,"2025-07-26",,"2025-07-19 18:36:47","2025-07-19 18:36:47"
402,25,5,2,"2025-07-26",,"2025-07-19 18:36:47","2025-07-19 18:36:47"
403,81,12,2,"2025-07-26",,"2025-07-19 18:36:47","2025-07-19 18:36:47"
404,3,1,3,"2025-07-19",Perjamuan Kudus,"2025-07-19 18:39:38","2025-07-19 18:39:38"
405,16,3,3,"2025-07-19",Perjamuan Kudus,"2025-07-19 18:39:38","2025-07-19 18:39:38"
406,24,5,3,"2025-07-19",Perjamuan Kudus,"2025-07-19 18:39:38","2025-07-19 18:39:38"
407,25,5,3,"2025-07-19",Perjamuan Kudus,"2025-07-19 18:39:38","2025-07-19 18:39:38"
408,14,7,3,"2025-07-19",Perjamuan Kudus,"2025-07-19 18:39:38","2025-07-19 18:39:38"
409,96,9,3,"2025-07-19",Perjamuan Kudus,"2025-07-19 18:39:38","2025-07-19 18:39:38"
410,98,10,3,"2025-07-19",Perjamuan Kudus,"2025-07-19 18:39:38","2025-07-19 18:39:38"
411,35,12,3,"2025-07-19",Perjamuan Kudus,"2025-07-19 18:39:38","2025-07-19 18:39:38"
412,2,1,1,"2025-07-04",,"2025-07-19 18:40:41","2025-07-19 18:40:41"
413,5,2,1,"2025-07-04",,"2025-07-19 18:40:41","2025-07-19 18:40:41"
414,52,2,1,"2025-07-04",,"2025-07-19 18:40:41","2025-07-19 18:40:41"
415,5,13,1,"2025-07-04",,"2025-07-19 18:40:41","2025-07-19 18:40:41"
416,8,3,1,"2025-07-04",,"2025-07-19 18:40:41","2025-07-19 18:40:41"
417,17,4,1,"2025-07-04",,"2025-07-19 18:40:41","2025-07-19 18:40:41"
418,54,4,1,"2025-07-04",,"2025-07-19 18:40:41","2025-07-19 18:40:41"
419,15,9,1,"2025-07-04",,"2025-07-19 18:40:41","2025-07-19 18:40:41"
420,32,11,1,"2025-07-04",,"2025-07-19 18:40:41","2025-07-19 18:40:41"
421,23,5,1,"2025-07-04",,"2025-07-19 18:40:41","2025-07-19 18:40:41"
422,23,6,1,"2025-07-04",,"2025-07-19 18:40:41","2025-07-19 18:40:41"
423,26,7,1,"2025-07-04",,"2025-07-19 18:40:41","2025-07-19 18:40:41"
424,27,8,1,"2025-07-04",,"2025-07-19 18:40:41","2025-07-19 18:40:41"
425,30,10,1,"2025-07-04",,"2025-07-19 18:40:41","2025-07-19 18:40:41"
426,50,12,1,"2025-07-04",,"2025-07-19 18:40:41","2025-07-19 18:40:41"
427,2,1,4,"2025-07-05",,"2025-07-19 18:50:50","2025-07-19 18:50:50"
428,50,3,4,"2025-07-05",,"2025-07-19 18:50:50","2025-07-19 18:50:50"
429,52,12,4,"2025-07-05",,"2025-07-19 18:50:50","2025-07-19 18:50:50"
430,7,1,6,"2025-07-26",,"2025-07-19 18:51:49","2025-07-19 18:51:49"
431,35,3,6,"2025-07-26",,"2025-07-19 18:51:49","2025-07-19 18:51:49"
432,31,12,6,"2025-07-26",,"2025-07-19 18:51:49","2025-07-19 18:51:49"
433,1,1,1,"2025-08-16",Perjamuan Kudus,"2025-08-09 16:03:43","2025-08-09 16:03:43"
434,6,2,1,"2025-08-16",Perjamuan Kudus,"2025-08-09 16:03:43","2025-08-09 16:03:43"
435,47,12,1,"2025-08-16",Perjamuan Kudus,"2025-08-09 16:03:43","2025-08-09 16:03:43"
436,5,13,1,"2025-08-16",Perjamuan Kudus,"2025-08-09 16:03:43","2025-08-09 16:03:43"
443,3,1,3,"2025-08-16",,"2025-08-09 16:36:59","2025-08-09 16:36:59"
